w	o1	o2	o3	o4
1	1	9	10	11
1	1	12	13	14
1	1	15	16	17
1	1	2	3	4
1	1	2	5	6
1	1	2	7	8
2	2	10	11	12
2	2	13	14	15
2	2	16	17	1
2	2	3	4	5
2	2	3	6	7
2	2	3	8	9
3	3	11	12	13
3	3	14	15	16
3	3	17	1	2
3	3	4	5	6
3	3	4	7	8
3	3	4	9	10
4	4	12	13	14
4	4	15	16	17
4	4	1	2	3
4	4	5	6	7
4	4	5	8	9
4	4	5	10	11
5	5	13	14	15
5	5	16	17	1
5	5	2	3	4
5	5	6	7	8
5	5	6	9	10
5	5	6	11	12
6	6	14	15	16
6	6	17	1	2
6	6	3	4	5
6	6	7	8	9
6	6	7	10	11
6	6	7	12	13
7	7	15	16	17
7	7	1	2	3
7	7	4	5	6
7	7	8	9	10
7	7	8	11	12
7	7	8	13	14
8	8	16	17	1
8	8	2	3	4
8	8	5	6	7
8	8	9	10	11
8	8	9	12	13
8	8	9	14	15
